類型,專頁,活動名稱,活動日期,活動地點,報名日期,報名狀態,服務學習,SDGs,多元學習護照時數,UCAN共通職能,ActID
線上報名,學務處,【第10職涯特讚隊 隊員招募中！】(可認列多元時數),2025.03.14(五) 上午 08:00 ~ 2025.07.30(三) 上午 12:00,元智大學,2025.03.14(五) ~ 2025.07.30(三) 線上報名,已報名人數：3 名額限制：30 候補人數：0,無,"04優質教育,17多元夥伴關係",無,"溝通表達,持續學習,人際互動,團隊合作,問題解決,創新,工作責任及紀律,資訊科技應用",13288
線上報名,資訊工程學系,(18)113協助資工系活動或系上空間整理(限資工系學生),2024.08.01(四) 上午 12:00 ~ 2025.07.31(四) 上午 12:00,資工系空間,2024.08.01(四) ~ 2025.07.31(四) 線上報名,已報名人數：32 名額限制：100,18 愛校服務(活動時數) Campus-loving Service,99以上皆無相關,無,無,12696
線上報名,資訊工程學系,113學年度資工系R1007管理員(限資工系),2024.08.01(四) 上午 12:00 ~ 2025.07.31(四) 上午 12:00,R1007,2024.08.01(四) ~ 2025.07.31(四) 線上報名,已報名人數：9 名額限制：10,18 專業服務(活動時數) Professional Service,99以上皆無相關,無,無,12571
線上報名,資訊工程學系,(6)協助維護資工系空間-限資工系學生,2024.02.01(四) 上午 12:00 ~ 2025.12.31(三) 上午 12:00,系上空間,2024.02.20(二) ~ 2025.12.31(三) 線上報名,已報名人數：10 名額限制：100,6 愛校服務(活動時數) Campus-loving Service,無,無,無,11387
線上報名,資訊工程學系,(9)協助維護資工系空間-限資工系學生,2024.01.01(一) 上午 12:00 ~ 2025.12.31(三) 上午 12:00,不拘,2024.01.02(二) ~ 2025.12.31(三) 線上報名,已報名人數：9 名額限制：100,9 愛校服務(活動時數) Campus-loving Service,無,無,無,11290
線上報名,學務處,113-2淨灘活動(限快樂學習營專案成員參與),2025.05.17(六) 上午 09:10 ~ 2025.05.17(六) 下午 05:10,野柳地質公園,2025.04.18(五) ~ 2025.05.09(五) 線上報名,已報名人數：0 名額限制：10,無,"04優質教育,14保育海洋生態,17多元夥伴關係",8小時,"人際互動,團隊合作,問題解決,工作責任及紀律",14626
線上報名,終身教育部,【ESG永續職涯講座】《逆風飛揚：職涯探索的勇氣與智慧》(含午餐及職涯點數1點),2025.05.26(一) 下午 01:00 ~ 2025.05.26(一) 下午 02:30,元智一館1樓R1101,2025.04.18(五) ~ 2025.05.19(一) 線上報名,已報名人數：2 名額限制：50,無,無,無,無,14625
線上報名,國際語言文化中心,🎉歡迎報名參加~2025元智英語微電影競賽~Making a Scene- YZU English Movie Contest,2025.04.19(六) 下午 11:00 ~ 2025.05.07(三) 下午 11:50,online,2025.04.19(六) ~ 2025.05.07(三) 報名尚未開始,已報名人數：0 名額限制：60,無,"04優質教育,17多元夥伴關係",無,無,14621
線上報名,社會暨政策科學學系,課堂演講「咖啡消費與公平貿易」5/5(一)13:10-15:00 地點:R3302。 開放5名~社政系敬邀,2025.05.05(一) 下午 01:10 ~ 2025.05.05(一) 下午 03:00,R3302,2025.04.18(五) ~ 2025.04.28(一) 線上報名,已報名人數：0 名額限制：5,無,04優質教育,無,無,14618
線上報名,資訊傳播學系,《AI與Creative Coding 驅動的動態視覺設計》實務講座,2025.04.24(四) 下午 01:10 ~ 2025.04.24(四) 下午 04:00,R70204,2025.04.18(五) ~ 2025.04.23(三) 線上報名,已報名人數：0 名額限制：15,無,無,無,無,14617
線上報名,學務處,你一定藥知道－藥物濫用防制講座,2025.04.23(三) 下午 06:00 ~ 2025.04.23(三) 下午 08:00,3104,2025.04.18(五) ~ 2025.04.23(三) 線上報名,已報名人數：27 名額限制：80,2 通識課程(課程時數) General Course,04優質教育,2小時,"溝通表達,持續學習",14615
線上報名,學務處,母親節傳情手作DIY活動,2025.04.30(三) 下午 06:00 ~ 2025.04.30(三) 下午 08:00,3103,2025.04.18(五) ~ 2025.04.30(三) 線上報名,已報名人數：11 名額限制：70,1 通識課程(課程時數) General Course,04優質教育,1小時,"團隊合作,創新",14614
